segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,0,negative,0.0993776494055,-0.107491405958,-0.0136557341299,99.3776494055,-107.491405958,-13.6557341299,-38.7147228317,38.7147228317,17.2302658924
0,1,0,negative,0.0993984455886,-0.107491405958,-0.0136921779872,99.3984455886,-107.491405958,-13.6921779872,-38.6939266486,38.6939266486,17.1938220351
1,0,0,negative,0.0993598875952,-0.107491405958,-0.0136345467348,99.3598875952,-107.491405958,-13.6345467348,-38.7324846421,38.7324846421,17.2514532875
1,1,0,negative,0.0993776494055,-0.107491405958,-0.0136557341299,99.3776494055,-107.491405958,-13.6557341299,-38.7147228317,38.7147228317,17.2302658924
2,0,0,negative,0.0996365585271,-0.107491405958,-0.0141806932259,99.6365585271,-107.491405958,-14.1806932259,-38.4558137101,38.4558137101,16.7053067964
2,1,0,negative,0.0993984455886,-0.107491405958,-0.0136921779872,99.3984455886,-107.491405958,-13.6921779872,-38.6939266486,38.6939266486,17.1938220351
3,0,0,negative,0.0993598875952,-0.107491405958,-0.0136345467348,99.3598875952,-107.491405958,-13.6345467348,-38.7324846421,38.7324846421,17.2514532875
3,1,0,negative,0.0989231928554,-0.107491405958,-0.0132554927352,98.9231928554,-107.491405958,-13.2554927352,-39.1691793818,39.1691793818,17.6305072871
4,0,0,negative,0.0984884372435,-0.107491405958,-0.0128515185423,98.4884372435,-107.491405958,-12.8515185423,-39.6039349937,39.6039349937,18.03448148
4,1,0,negative,0.0989231928554,-0.107491405958,-0.0132554927352,98.9231928554,-107.491405958,-13.2554927352,-39.1691793818,39.1691793818,17.6305072871
5,0,0,negative,0.0984884372435,-0.107491405958,-0.0128515185423,98.4884372435,-107.491405958,-12.8515185423,-39.6039349937,39.6039349937,18.03448148
5,1,0,negative,0.0981106176702,-0.107491405958,-0.0124486874361,98.1106176702,-107.491405958,-12.4486874361,-39.981754567,39.981754567,18.4373125862
6,0,0,negative,0.0981106176702,-0.107491405958,-0.0124486874361,98.1106176702,-107.491405958,-12.4486874361,-39.981754567,39.981754567,18.4373125862
6,1,0,negative,0.0977363881172,-0.107491405958,-0.0121822257682,97.7363881172,-107.491405958,-12.1822257682,-40.35598412,40.35598412,18.7037742541
7,0,0,negative,0.0972702195104,-0.107491405958,-0.0117639579602,97.2702195104,-107.491405958,-11.7639579602,-40.8221527268,40.8221527268,19.1220420621
7,1,0,negative,0.0977363881172,-0.107491405958,-0.0121822257682,97.7363881172,-107.491405958,-12.1822257682,-40.35598412,40.35598412,18.7037742541
8,0,0,negative,0.0972702195104,-0.107491405958,-0.0117639579602,97.2702195104,-107.491405958,-11.7639579602,-40.8221527268,40.8221527268,19.1220420621
8,1,0,negative,0.097232031897,-0.107491405958,-0.0117283846889,97.232031897,-107.491405958,-11.7283846889,-40.8603403402,40.8603403402,19.1576153334
9,0,0,negative,0.0969046977882,-0.107491405958,-0.0110353747151,96.9046977882,-107.491405958,-11.0353747151,-41.1876744491,41.1876744491,19.8506253072
9,1,0,negative,0.0968419242724,-0.107491405958,-0.0108699876515,96.8419242724,-107.491405958,-10.8699876515,-41.2504479648,41.2504479648,20.0160123708
