segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,300,positive,0.141572620232,-0.113519372309,-0.0302847181059,141.572620232,-113.519372309,-30.2847181059,6.96049599053,6.96049599053,0.601281916431
0,1,300,positive,0.141221196196,-0.112910688023,-0.0303329025902,141.221196196,-112.910688023,-30.3329025902,6.25764791762,6.25764791762,0.553097432107
1,0,300,positive,0.141019564046,-0.112561450894,-0.0303301690056,141.019564046,-112.561450894,-30.3301690056,5.85438361709,5.85438361709,0.555831016699
1,1,300,positive,0.141221196196,-0.112910688023,-0.0303329025902,141.221196196,-112.910688023,-30.3329025902,6.25764791762,6.25764791762,0.553097432107
2,0,300,positive,0.143100465191,-0.116165677403,-0.0252762968366,143.100465191,-116.165677403,-25.2762968366,10.0161859079,10.0161859079,5.60970318568
2,1,300,positive,0.143063056335,-0.116100883364,-0.0252607280191,143.063056335,-116.100883364,-25.2607280191,9.94136819635,9.94136819635,5.62527200317
3,0,300,positive,0.142584173723,-0.11527143435,-0.0251520350792,142.584173723,-115.27143435,-25.1520350792,8.98360297243,8.98360297243,5.73396494307
3,1,300,positive,0.143063056335,-0.116100883364,-0.0252607280191,143.063056335,-116.100883364,-25.2607280191,9.94136819635,9.94136819635,5.62527200317
4,0,300,positive,0.142467726691,-0.115069742173,-0.025149934833,142.467726691,-115.069742173,-25.149934833,8.75070890705,8.75070890705,5.73606518933
4,1,300,positive,0.142164975182,-0.114545361178,-0.0252730861292,142.164975182,-114.545361178,-25.2730861292,8.14520589027,8.14520589027,5.61291389306
5,0,300,positive,0.142467726691,-0.115069742173,-0.025149934833,142.467726691,-115.069742173,-25.149934833,8.75070890705,8.75070890705,5.73606518933
5,1,300,positive,0.142584173723,-0.11527143435,-0.0251520350792,142.584173723,-115.27143435,-25.1520350792,8.98360297243,8.98360297243,5.73396494307
6,0,300,positive,0.142164975182,-0.114545361178,-0.0252730861292,142.164975182,-114.545361178,-25.2730861292,8.14520589027,8.14520589027,5.61291389306
6,1,300,positive,0.141973701859,-0.114214066063,-0.0252839517319,141.973701859,-114.214066063,-25.2839517319,7.76265924277,7.76265924277,5.60204829044
7,0,300,positive,0.141860084687,-0.114017275349,-0.0252182631793,141.860084687,-114.017275349,-25.2182631793,7.53542489863,7.53542489863,5.66773684299
7,1,300,positive,0.141973701859,-0.114214066063,-0.0252839517319,141.973701859,-114.214066063,-25.2839517319,7.76265924277,7.76265924277,5.60204829044
8,0,300,positive,0.141860084687,-0.114017275349,-0.0252182631793,141.860084687,-114.017275349,-25.2182631793,7.53542489863,7.53542489863,5.66773684299
8,1,300,positive,0.141624785001,-0.113609724338,-0.0251234958767,141.624785001,-113.609724338,-25.1234958767,7.06482552786,7.06482552786,5.76250414555
9,0,300,positive,0.14157470802,-0.113522988462,-0.0250871423632,141.57470802,-113.522988462,-25.0871423632,6.96467156497,6.96467156497,5.79885765909
9,1,300,positive,0.141624785001,-0.113609724338,-0.0251234958767,141.624785001,-113.609724338,-25.1234958767,7.06482552786,7.06482552786,5.76250414555
10,0,300,positive,0.140843021498,-0.112255670232,-0.0252771540241,140.843021498,-112.255670232,-25.2771540241,5.50129852231,5.50129852231,5.60884599815
10,1,300,positive,0.14104666857,-0.112608397306,-0.0251671120774,141.04666857,-112.608397306,-25.1671120774,5.90859266494,5.90859266494,5.71888794492
11,0,300,positive,0.141171148151,-0.112824002266,-0.0251136325351,141.171148151,-112.824002266,-25.1136325351,6.15755182804,6.15755182804,5.77236748722
11,1,300,positive,0.14104666857,-0.112608397306,-0.0251671120774,141.04666857,-112.608397306,-25.1671120774,5.90859266494,5.90859266494,5.71888794492
12,0,300,positive,0.14157470802,-0.113522988462,-0.0250871423632,141.57470802,-113.522988462,-25.0871423632,6.96467156497,6.96467156497,5.79885765909
12,1,300,positive,0.141458592819,-0.113321871035,-0.0250839347343,141.458592819,-113.321871035,-25.0839347343,6.73244116338,6.73244116338,5.80206528799
