segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,0,positive,0.141243762491,-0.107491405958,-0.0303425710764,141.243762491,-107.491405958,-30.3425710764,3.15139025412,3.15139025412,0.543428945876
0,1,0,positive,0.14232469945,-0.107491405958,-0.0304121148488,142.32469945,-107.491405958,-30.4121148488,4.23232721251,4.23232721251,0.473885173505
1,0,0,positive,0.142587068178,-0.107491405958,-0.030413575463,142.587068178,-107.491405958,-30.413575463,4.49469594114,4.49469594114,0.472424559333
1,1,0,positive,0.14232469945,-0.107491405958,-0.0304121148488,142.32469945,-107.491405958,-30.4121148488,4.23232721251,4.23232721251,0.473885173505
2,0,0,positive,0.140280114544,-0.107491405958,-0.0303768154296,140.280114544,-107.491405958,-30.3768154296,2.18774230634,2.18774230634,0.509184592663
2,1,0,positive,0.139485217738,-0.107491405958,-0.030373102559,139.485217738,-107.491405958,-30.373102559,1.39284550103,1.39284550103,0.512897463319
3,0,0,positive,0.139485217738,-0.107491405958,-0.030373102559,139.485217738,-107.491405958,-30.373102559,1.39284550103,1.39284550103,0.512897463319
3,1,0,positive,0.139020427975,-0.107491405958,-0.0303896198951,139.020427975,-107.491405958,-30.3896198951,0.92805573804,0.92805573804,0.49638012718
4,0,0,positive,0.138625398194,-0.107491405958,-0.0304007445408,138.625398194,-107.491405958,-30.4007445408,0.533025957088,0.533025957088,0.485255481454
4,1,0,positive,0.139020427975,-0.107491405958,-0.0303896198951,139.020427975,-107.491405958,-30.3896198951,0.92805573804,0.92805573804,0.49638012718
5,0,0,positive,0.141013808127,-0.107491405958,-0.0303609029919,141.013808127,-107.491405958,-30.3609029919,2.92143588978,2.92143588978,0.525097030392
5,1,0,positive,0.141243762491,-0.107491405958,-0.0303425710764,141.243762491,-107.491405958,-30.3425710764,3.15139025412,3.15139025412,0.543428945876
6,0,0,positive,0.140702444983,-0.107491405958,-0.0303719309759,140.702444983,-107.491405958,-30.3719309759,2.61007274581,2.61007274581,0.514069046422
6,1,0,positive,0.141013808127,-0.107491405958,-0.0303609029919,141.013808127,-107.491405958,-30.3609029919,2.92143588978,2.92143588978,0.525097030392
7,0,0,positive,0.140280114544,-0.107491405958,-0.0303768154296,140.280114544,-107.491405958,-30.3768154296,2.18774230634,2.18774230634,0.509184592663
7,1,0,positive,0.140702444983,-0.107491405958,-0.0303719309759,140.702444983,-107.491405958,-30.3719309759,2.61007274581,2.61007274581,0.514069046422
8,0,0,positive,0.138092372237,-0.107491405958,-0.0303865153224,138.092372237,-107.491405958,-30.3865153224,0,0,0.499484699907
8,1,0,positive,0.138625398194,-0.107491405958,-0.0304007445408,138.625398194,-107.491405958,-30.4007445408,0.533025957088,0.533025957088,0.485255481454
9,0,0,positive,0.143301714316,-0.107491405958,-0.024582352892,143.301714316,-107.491405958,-24.582352892,5.20934207928,5.20934207928,6.30364713031
9,1,0,positive,0.143675508176,-0.107491405958,-0.0245879932531,143.675508176,-107.491405958,-24.5879932531,5.58313593858,5.58313593858,6.29800676917
10,0,0,positive,0.143301714316,-0.107491405958,-0.024582352892,143.301714316,-107.491405958,-24.582352892,5.20934207928,5.20934207928,6.30364713031
10,1,0,positive,0.143085835072,-0.107491405958,-0.024591349823,143.085835072,-107.491405958,-24.591349823,4.9934628349,4.9934628349,6.29465019925
11,0,0,positive,0.143085835072,-0.107491405958,-0.024591349823,143.085835072,-107.491405958,-24.591349823,4.9934628349,4.9934628349,6.29465019925
11,1,0,positive,0.142990469584,-0.107491405958,-0.0246255068037,142.990469584,-107.491405958,-24.6255068037,4.89809734635,4.89809734635,6.26049321854
12,0,0,positive,0.142990469584,-0.107491405958,-0.0246255068037,142.990469584,-107.491405958,-24.6255068037,4.89809734635,4.89809734635,6.26049321854
12,1,0,positive,0.142595929319,-0.107491405958,-0.0245458620821,142.595929319,-107.491405958,-24.5458620821,4.50355708223,4.50355708223,6.34013794022
13,0,0,positive,0.142502712282,-0.107491405958,-0.0245356561611,142.502712282,-107.491405958,-24.5356561611,4.41034004432,4.41034004432,6.35034386123
13,1,0,positive,0.142595929319,-0.107491405958,-0.0245458620821,142.595929319,-107.491405958,-24.5458620821,4.50355708223,4.50355708223,6.34013794022
14,0,0,positive,0.142472966766,-0.107491405958,-0.0245347162445,142.472966766,-107.491405958,-24.5347162445,4.38059452839,4.38059452839,6.35128377775
14,1,0,positive,0.142502712282,-0.107491405958,-0.0245356561611,142.502712282,-107.491405958,-24.5356561611,4.41034004432,4.41034004432,6.35034386123
15,0,0,positive,0.141683826045,-0.107491405958,-0.0245303856962,141.683826045,-107.491405958,-24.5303856962,3.59145380739,3.59145380739,6.35561432613
15,1,0,positive,0.141787970983,-0.107491405958,-0.0245181544151,141.787970983,-107.491405958,-24.5181544151,3.69559874549,3.69559874549,6.36784560716
16,0,0,positive,0.141660134817,-0.107491405958,-0.024540272671,141.660134817,-107.491405958,-24.540272671,3.56776258011,3.56776258011,6.34572735126
16,1,0,positive,0.141683826045,-0.107491405958,-0.0245303856962,141.683826045,-107.491405958,-24.5303856962,3.59145380739,3.59145380739,6.35561432613
17,0,0,positive,0.141600154434,-0.107491405958,-0.0245305125096,141.600154434,-107.491405958,-24.5305125096,3.50778219678,3.50778219678,6.35548751272
17,1,0,positive,0.141660134817,-0.107491405958,-0.024540272671,141.660134817,-107.491405958,-24.540272671,3.56776258011,3.56776258011,6.34572735126
18,0,0,positive,0.142472966766,-0.107491405958,-0.0245347162445,142.472966766,-107.491405958,-24.5347162445,4.38059452839,4.38059452839,6.35128377775
18,1,0,positive,0.142141678479,-0.107491405958,-0.0244909858226,142.141678479,-107.491405958,-24.4909858226,4.04930624216,4.04930624216,6.39501419964
19,0,0,positive,0.142141678479,-0.107491405958,-0.0244909858226,142.141678479,-107.491405958,-24.4909858226,4.04930624216,4.04930624216,6.39501419964
19,1,0,positive,0.141787970983,-0.107491405958,-0.0245181544151,141.787970983,-107.491405958,-24.5181544151,3.69559874549,3.69559874549,6.36784560716
20,0,0,positive,0.141319794997,-0.107491405958,-0.0245052937289,141.319794997,-107.491405958,-24.5052937289,3.22742275941,3.22742275941,6.38070629338
20,1,0,positive,0.141168533964,-0.107491405958,-0.0245122609855,141.168533964,-107.491405958,-24.5122609855,3.07616172721,3.07616172721,6.37373903682
21,0,0,positive,0.141319794997,-0.107491405958,-0.0245052937289,141.319794997,-107.491405958,-24.5052937289,3.22742275941,3.22742275941,6.38070629338
21,1,0,positive,0.141600154434,-0.107491405958,-0.0245305125096,141.600154434,-107.491405958,-24.5305125096,3.50778219678,3.50778219678,6.35548751272
22,0,0,positive,0.140641394489,-0.107491405958,-0.0245512525317,140.641394489,-107.491405958,-24.5512525317,2.54902225149,2.54902225149,6.33474749064
22,1,0,positive,0.14105705296,-0.107491405958,-0.0244955504802,141.05705296,-107.491405958,-24.4955504802,2.9646807223,2.9646807223,6.39044954209
23,0,0,positive,0.141168533964,-0.107491405958,-0.0245122609855,141.168533964,-107.491405958,-24.5122609855,3.07616172721,3.07616172721,6.37373903682
23,1,0,positive,0.14105705296,-0.107491405958,-0.0244955504802,141.05705296,-107.491405958,-24.4955504802,2.9646807223,2.9646807223,6.39044954209
24,0,0,positive,0.140641394489,-0.107491405958,-0.0245512525317,140.641394489,-107.491405958,-24.5512525317,2.54902225149,2.54902225149,6.33474749064
24,1,0,positive,0.140380215586,-0.107491405958,-0.0245524263415,140.380215586,-107.491405958,-24.5524263415,2.2878433488,2.2878433488,6.33357368078
25,0,0,positive,0.140380215586,-0.107491405958,-0.0245524263415,140.380215586,-107.491405958,-24.5524263415,2.2878433488,2.2878433488,6.33357368078
25,1,0,positive,0.140209490721,-0.107491405958,-0.0245427879013,140.209490721,-107.491405958,-24.5427879013,2.11711848421,2.11711848421,6.34321212101
26,0,0,positive,0.139684332251,-0.107491405958,-0.0246758934303,139.684332251,-107.491405958,-24.6758934303,1.5919600138,1.5919600138,6.21010659201
26,1,0,positive,0.139801451821,-0.107491405958,-0.0246590864129,139.801451821,-107.491405958,-24.6590864129,1.70907958415,1.70907958415,6.22691360935
27,0,0,positive,0.140209490721,-0.107491405958,-0.0245427879013,140.209490721,-107.491405958,-24.5427879013,2.11711848421,2.11711848421,6.34321212101
27,1,0,positive,0.139801451821,-0.107491405958,-0.0246590864129,139.801451821,-107.491405958,-24.6590864129,1.70907958415,1.70907958415,6.22691360935
28,0,0,positive,0.139578248485,-0.107491405958,-0.0246898190271,139.578248485,-107.491405958,-24.6898190271,1.48587624747,1.48587624747,6.19618099521
28,1,0,positive,0.139684332251,-0.107491405958,-0.0246758934303,139.684332251,-107.491405958,-24.6758934303,1.5919600138,1.5919600138,6.21010659201
29,0,0,positive,0.139578248485,-0.107491405958,-0.0246898190271,139.578248485,-107.491405958,-24.6898190271,1.48587624747,1.48587624747,6.19618099521
29,1,0,positive,0.139176585072,-0.107491405958,-0.0247886538472,139.176585072,-107.491405958,-24.7886538472,1.08421283503,1.08421283503,6.09734617511
30,0,0,positive,0.138199068135,-0.107491405958,-0.0246992870808,138.199068135,-107.491405958,-24.6992870808,0.106695898027,0.106695898027,6.18671294147
30,1,0,positive,0.139176585072,-0.107491405958,-0.0247886538472,139.176585072,-107.491405958,-24.7886538472,1.08421283503,1.08421283503,6.09734617511
31,0,0,positive,0.138199068135,-0.107491405958,-0.0246992870808,138.199068135,-107.491405958,-24.6992870808,0.106695898027,0.106695898027,6.18671294147
31,1,0,positive,0.138092372237,-0.107491405958,-0.0246964624861,138.092372237,-107.491405958,-24.6964624861,0,0,6.18953753617
32,0,0,positive,0.196761051321,-0.107491405958,0.014665464786,196.761051321,-107.491405958,14.665464786,58.668679084,58.668679084,45.5514648083
32,1,0,positive,0.197139414635,-0.107491405958,0.0152848749285,197.139414635,-107.491405958,15.2848749285,59.0470423979,59.0470423979,46.1708749508
33,0,0,positive,0.196374278983,-0.107491405958,0.0139876703658,196.374278983,-107.491405958,13.9876703658,58.2819067462,58.2819067462,44.8736703881
33,1,0,positive,0.196761051321,-0.107491405958,0.014665464786,196.761051321,-107.491405958,14.665464786,58.668679084,58.668679084,45.5514648083
34,0,0,positive,0.198875676273,-0.107491405958,0.0184543239253,198.875676273,-107.491405958,18.4543239253,60.7833040357,60.7833040357,49.3403239476
34,1,0,positive,0.197704284273,-0.107491405958,0.0161651094775,197.704284273,-107.491405958,16.1651094775,59.6119120359,59.6119120359,47.0511094998
35,0,0,positive,0.199310363609,-0.107491405958,0.0192909020677,199.310363609,-107.491405958,19.2909020677,61.2179913721,61.2179913721,50.17690209
35,1,0,positive,0.198875676273,-0.107491405958,0.0184543239253,198.875676273,-107.491405958,18.4543239253,60.7833040357,60.7833040357,49.3403239476
36,0,0,positive,0.197653764045,-0.107491405958,0.0160707095243,197.653764045,-107.491405958,16.0707095243,59.5613918074,59.5613918074,46.9567095466
36,1,0,positive,0.197666478499,-0.107491405958,0.0160936592232,197.666478499,-107.491405958,16.0936592232,59.5741062618,59.5741062618,46.9796592455
37,0,0,positive,0.197653764045,-0.107491405958,0.0160707095243,197.653764045,-107.491405958,16.0707095243,59.5613918074,59.5613918074,46.9567095466
37,1,0,positive,0.197139414635,-0.107491405958,0.0152848749285,197.139414635,-107.491405958,15.2848749285,59.0470423979,59.0470423979,46.1708749508
38,0,0,positive,0.197666478499,-0.107491405958,0.0160936592232,197.666478499,-107.491405958,16.0936592232,59.5741062618,59.5741062618,46.9796592455
38,1,0,positive,0.197704284273,-0.107491405958,0.0161651094775,197.704284273,-107.491405958,16.1651094775,59.6119120359,59.6119120359,47.0511094998
39,0,0,positive,0.194621809542,-0.107491405958,0.0112190286047,194.621809542,-107.491405958,11.2190286047,56.5294373052,56.5294373052,42.105028627
39,1,0,positive,0.195955877588,-0.107491405958,0.0132964569153,195.955877588,-107.491405958,13.2964569153,57.8635053511,57.8635053511,44.1824569376
40,0,0,positive,0.19445001839,-0.107491405958,0.0109607294161,194.45001839,-107.491405958,10.9607294161,56.3576461523,56.3576461523,41.8467294384
40,1,0,positive,0.194300264842,-0.107491405958,0.0107274829023,194.300264842,-107.491405958,10.7274829023,56.2078926045,56.2078926045,41.6134829246
41,0,0,positive,0.194621809542,-0.107491405958,0.0112190286047,194.621809542,-107.491405958,11.2190286047,56.5294373052,56.5294373052,42.105028627
41,1,0,positive,0.19445001839,-0.107491405958,0.0109607294161,194.45001839,-107.491405958,10.9607294161,56.3576461523,56.3576461523,41.8467294384
42,0,0,positive,0.196138601828,-0.107491405958,0.0135968750325,196.138601828,-107.491405958,13.5968750325,58.0462295906,58.0462295906,44.4828750548
42,1,0,positive,0.195955877588,-0.107491405958,0.0132964569153,195.955877588,-107.491405958,13.2964569153,57.8635053511,57.8635053511,44.1824569376
43,0,0,positive,0.196374278983,-0.107491405958,0.0139876703658,196.374278983,-107.491405958,13.9876703658,58.2819067462,58.2819067462,44.8736703881
43,1,0,positive,0.196138601828,-0.107491405958,0.0135968750325,196.138601828,-107.491405958,13.5968750325,58.0462295906,58.0462295906,44.4828750548
