segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,210,positive,0.106649907258,-0.125644721578,-0.0132084381675,106.649907258,-125.644721578,-13.2084381675,36.3066312391,36.3066312391,17.6775618548
0,1,210,positive,0.106889764098,-0.125506240167,-0.0136462327913,106.889764098,-125.506240167,-13.6462327913,36.0296684176,36.0296684176,17.239767231
1,0,210,positive,0.10653213573,-0.125712717001,-0.0130328378533,106.53213573,-125.712717001,-13.0328378533,36.4426220858,36.4426220858,17.853162169
1,1,210,positive,0.106649907258,-0.125644721578,-0.0132084381675,106.649907258,-125.644721578,-13.2084381675,36.3066312391,36.3066312391,17.6775618548
2,0,210,positive,0.106983595419,-0.125452066628,-0.0138338789976,106.983595419,-125.452066628,-13.8338789976,35.9213213401,35.9213213401,17.0521210247
2,1,210,positive,0.106889764098,-0.125506240167,-0.0136462327913,106.889764098,-125.506240167,-13.6462327913,36.0296684176,36.0296684176,17.239767231
3,0,210,positive,0.10653213573,-0.125712717001,-0.0130328378533,106.53213573,-125.712717001,-13.0328378533,36.4426220858,36.4426220858,17.853162169
3,1,210,positive,0.106286923966,-0.125854290079,-0.0127014274276,106.286923966,-125.854290079,-12.7014274276,36.7257682425,36.7257682425,18.1845725946
4,0,210,positive,0.106286923966,-0.125854290079,-0.0127014274276,106.286923966,-125.854290079,-12.7014274276,36.7257682425,36.7257682425,18.1845725946
4,1,210,positive,0.105957958279,-0.126044218507,-0.0121477185745,105.957958279,-126.044218507,-12.1477185745,37.1056250979,37.1056250979,18.7382814478
5,0,210,positive,0.105845461481,-0.126109168564,-0.011944485255,105.845461481,-126.109168564,-11.944485255,37.2355252112,37.2355252112,18.9415147673
5,1,210,positive,0.105957958279,-0.126044218507,-0.0121477185745,105.957958279,-126.044218507,-12.1477185745,37.1056250979,37.1056250979,18.7382814478
6,0,210,positive,0.105845461481,-0.126109168564,-0.011944485255,105.845461481,-126.109168564,-11.944485255,37.2355252112,37.2355252112,18.9415147673
6,1,210,positive,0.105517508419,-0.126298512352,-0.0113119201916,105.517508419,-126.298512352,-11.3119201916,37.6142127887,37.6142127887,19.5740798307
7,0,210,positive,0.105517508419,-0.126298512352,-0.0113119201916,105.517508419,-126.298512352,-11.3119201916,37.6142127887,37.6142127887,19.5740798307
