segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,90,positive,0.138092372237,-0.0487361223534,0.00527416846184,138.092372237,-48.7361223534,5.27416846184,58.7552836046,58.7552836046,36.1601684841
0,1,90,positive,0.138092372237,-0.0487753110882,0.00520573509822,138.092372237,-48.7753110882,5.20573509822,58.7160948698,58.7160948698,36.0917351205
1,0,90,positive,0.138092372237,-0.0486437300189,0.00544847026417,138.092372237,-48.6437300189,5.44847026417,58.8476759391,58.8476759391,36.3344702865
1,1,90,positive,0.138092372237,-0.0487361223534,0.00527416846184,138.092372237,-48.7361223534,5.27416846184,58.7552836046,58.7552836046,36.1601684841
2,0,90,positive,0.138092372237,-0.0473163357923,0.00840576559644,138.092372237,-47.3163357923,8.40576559644,60.1750701657,60.1750701657,39.2917656187
2,1,90,positive,0.138092372237,-0.0479057442439,0.00692946898876,138.092372237,-47.9057442439,6.92946898876,59.585661714,59.585661714,37.8154690111
3,0,90,positive,0.138092372237,-0.0465401596659,0.0100850787241,138.092372237,-46.5401596659,10.0850787241,60.9512462921,60.9512462921,40.9710787464
3,1,90,positive,0.138092372237,-0.0471057965129,0.00893180700346,138.092372237,-47.1057965129,8.93180700346,60.3856094451,60.3856094451,39.8178070258
4,0,90,positive,0.138092372237,-0.0465401596659,0.0100850787241,138.092372237,-46.5401596659,10.0850787241,60.9512462921,60.9512462921,40.9710787464
4,1,90,positive,0.138092372237,-0.0462682489746,0.0106285942095,138.092372237,-46.2682489746,10.6285942095,61.2231569834,61.2231569834,41.5145942318
5,0,90,positive,0.138092372237,-0.0445964437712,0.0137149483066,138.092372237,-44.5964437712,13.7149483066,62.8949621868,62.8949621868,44.6009483289
5,1,90,positive,0.138092372237,-0.0448085065107,0.0133217519292,138.092372237,-44.8085065107,13.3217519292,62.6828994473,62.6828994473,44.2077519515
6,0,90,positive,0.138092372237,-0.0445964437712,0.0137149483066,138.092372237,-44.5964437712,13.7149483066,62.8949621868,62.8949621868,44.6009483289
6,1,90,positive,0.138092372237,-0.0434846935542,0.015788175024,138.092372237,-43.4846935542,15.788175024,64.0067124038,64.0067124038,46.6741750463
7,0,90,positive,0.138092372237,-0.0448085065107,0.0133217519292,138.092372237,-44.8085065107,13.3217519292,62.6828994473,62.6828994473,44.2077519515
7,1,90,positive,0.138092372237,-0.0450223549795,0.0129252066665,138.092372237,-45.0223549795,12.9252066665,62.4690509785,62.4690509785,43.8112066888
8,0,90,positive,0.138092372237,-0.0462682489746,0.0106285942095,138.092372237,-46.2682489746,10.6285942095,61.2231569834,61.2231569834,41.5145942318
8,1,90,positive,0.138092372237,-0.0461596542383,0.0108338900894,138.092372237,-46.1596542383,10.8338900894,61.3317517197,61.3317517197,41.7198901117
9,0,90,positive,0.138092372237,-0.0461596542383,0.0108338900894,138.092372237,-46.1596542383,10.8338900894,61.3317517197,61.3317517197,41.7198901117
9,1,90,positive,0.138092372237,-0.0450223549795,0.0129252066665,138.092372237,-45.0223549795,12.9252066665,62.4690509785,62.4690509785,43.8112066888
10,0,90,positive,0.138092372237,-0.0428519463178,0.017227581793,138.092372237,-42.8519463178,17.227581793,64.6394596402,64.6394596402,48.1135818153
10,1,90,positive,0.138092372237,-0.0429478267652,0.0169916226527,138.092372237,-42.9478267652,16.9916226527,64.5435791928,64.5435791928,47.877622675
11,0,90,positive,0.138092372237,-0.0421915502296,0.0185448105351,138.092372237,-42.1915502296,18.5448105351,65.2998557284,65.2998557284,49.4308105574
11,1,90,positive,0.138092372237,-0.0428519463178,0.017227581793,138.092372237,-42.8519463178,17.227581793,64.6394596402,64.6394596402,48.1135818153
12,0,90,positive,0.138092372237,-0.0434846935542,0.015788175024,138.092372237,-43.4846935542,15.788175024,64.0067124038,64.0067124038,46.6741750463
12,1,90,positive,0.138092372237,-0.0429478267652,0.0169916226527,138.092372237,-42.9478267652,16.9916226527,64.5435791928,64.5435791928,47.877622675
13,0,90,positive,0.138092372237,-0.0421915502296,0.0185448105351,138.092372237,-42.1915502296,18.5448105351,65.2998557284,65.2998557284,49.4308105574
13,1,90,positive,0.138092372237,-0.0417560819635,0.0194151446145,138.092372237,-41.7560819635,19.4151446145,65.7353239945,65.7353239945,50.3011446368
14,0,90,positive,0.138092372237,-0.0417560819635,0.0194151446145,138.092372237,-41.7560819635,19.4151446145,65.7353239945,65.7353239945,50.3011446368
14,1,90,positive,0.138092372237,-0.0417347854233,0.0194634935411,138.092372237,-41.7347854233,19.4634935411,65.7566205347,65.7566205347,50.3494935634
15,0,90,positive,0.138092372237,-0.0417347854233,0.0194634935411,138.092372237,-41.7347854233,19.4634935411,65.7566205347,65.7566205347,50.3494935634
15,1,90,positive,0.138092372237,-0.041706234709,0.0195223178281,138.092372237,-41.706234709,19.5223178281,65.7851712489,65.7851712489,50.4083178504
16,0,90,positive,0.138092372237,-0.0576158717278,-0.0118962043614,138.092372237,-57.6158717278,-11.8962043614,49.8755342301,49.8755342301,18.9897956609
16,1,90,positive,0.138092372237,-0.05762752854,-0.0119196696615,138.092372237,-57.62752854,-11.9196696615,49.863877418,49.863877418,18.9663303608
17,0,90,positive,0.138092372237,-0.0575978517295,-0.011851974343,138.092372237,-57.5978517295,-11.851974343,49.8935542284,49.8935542284,19.0340256793
17,1,90,positive,0.138092372237,-0.0576158717278,-0.0118962043614,138.092372237,-57.6158717278,-11.8962043614,49.8755342301,49.8755342301,18.9897956609
18,0,90,positive,0.138092372237,-0.0575978517295,-0.011851974343,138.092372237,-57.5978517295,-11.851974343,49.8935542284,49.8935542284,19.0340256793
18,1,90,positive,0.138092372237,-0.057060856286,-0.010512071709,138.092372237,-57.060856286,-10.512071709,50.430549672,50.430549672,20.3739283133
19,0,90,positive,0.138092372237,-0.0570216924195,-0.0103534112747,138.092372237,-57.0216924195,-10.3534112747,50.4697135384,50.4697135384,20.5325887476
19,1,90,positive,0.138092372237,-0.057060856286,-0.010512071709,138.092372237,-57.060856286,-10.512071709,50.430549672,50.430549672,20.3739283133
20,0,90,positive,0.138092372237,-0.0568526986098,-0.00998239850331,138.092372237,-56.8526986098,-9.98239850331,50.6387073482,50.6387073482,20.903601519
20,1,90,positive,0.138092372237,-0.0570216924195,-0.0103534112747,138.092372237,-57.0216924195,-10.3534112747,50.4697135384,50.4697135384,20.5325887476
21,0,90,positive,0.138092372237,-0.0568526986098,-0.00998239850331,138.092372237,-56.8526986098,-9.98239850331,50.6387073482,50.6387073482,20.903601519
21,1,90,positive,0.138092372237,-0.0567195795968,-0.009651496748,138.092372237,-56.7195795968,-9.651496748,50.7718263612,50.7718263612,21.2345032743
22,0,90,positive,0.138092372237,-0.0564159210066,-0.0089392549211,138.092372237,-56.4159210066,-8.9392549211,51.0754849514,51.0754849514,21.9467451012
22,1,90,positive,0.138092372237,-0.0567195795968,-0.009651496748,138.092372237,-56.7195795968,-9.651496748,50.7718263612,50.7718263612,21.2345032743
23,0,90,positive,0.138092372237,-0.0560401336389,-0.00794657442388,138.092372237,-56.0401336389,-7.94657442388,51.4512723191,51.4512723191,22.9394255984
23,1,90,positive,0.138092372237,-0.0561734691147,-0.0083272034608,138.092372237,-56.1734691147,-8.3272034608,51.3179368433,51.3179368433,22.5587965615
24,0,90,positive,0.138092372237,-0.065811494532,-0.0158637288694,138.092372237,-65.811494532,-15.8637288694,41.679911426,41.679911426,15.0222711529
24,1,90,positive,0.138092372237,-0.065801330811,-0.0158495980933,138.092372237,-65.801330811,-15.8495980933,41.690075147,41.690075147,15.036401929
25,0,90,positive,0.138092372237,-0.065801330811,-0.0158495980933,138.092372237,-65.801330811,-15.8495980933,41.690075147,41.690075147,15.036401929
25,1,90,positive,0.138092372237,-0.0657536136624,-0.0157068330919,138.092372237,-65.7536136624,-15.7068330919,41.7377922955,41.7377922955,15.1791669304
26,0,90,positive,0.138092372237,-0.063780159004,-0.012644969552,138.092372237,-63.780159004,-12.644969552,43.711246954,43.711246954,18.2410304703
26,1,90,positive,0.138092372237,-0.0637348796786,-0.0125563636363,138.092372237,-63.7348796786,-12.5563636363,43.7565262794,43.7565262794,18.329636386
