segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,240,positive,0.118297099069,-0.141777824835,-0.00607458810473,118.297099069,-141.777824835,-6.07458810473,39.5905463361,39.5905463361,24.8114119176
0,1,240,positive,0.11842598327,-0.141554590851,-0.00648296756675,118.42598327,-141.554590851,-6.48296756675,39.3327779344,39.3327779344,24.4030324555
1,0,240,positive,0.118215729859,-0.14191876044,-0.00575627284048,118.215729859,-141.91876044,-5.75627284048,39.7532847556,39.7532847556,25.1297271818
1,1,240,positive,0.118297099069,-0.141777824835,-0.00607458810473,118.297099069,-141.777824835,-6.07458810473,39.5905463361,39.5905463361,24.8114119176
2,0,240,positive,0.117360445861,-0.14340015578,-0.0140713425526,117.360445861,-143.40015578,-14.0713425526,41.4638527526,41.4638527526,16.8146574697
2,1,240,positive,0.117245119827,-0.143599906332,-0.0136901471821,117.245119827,-143.599906332,-13.6901471821,41.6945048214,41.6945048214,17.1958528402
3,0,240,positive,0.117180160743,-0.143712418765,-0.0134019673653,117.180160743,-143.712418765,-13.4019673653,41.8244229885,41.8244229885,17.484032657
3,1,240,positive,0.117245119827,-0.143599906332,-0.0136901471821,117.245119827,-143.599906332,-13.6901471821,41.6945048214,41.6945048214,17.1958528402
4,0,240,positive,0.117180160743,-0.143712418765,-0.0134019673653,117.180160743,-143.712418765,-13.4019673653,41.8244229885,41.8244229885,17.484032657
4,1,240,positive,0.117069308171,-0.143904421051,-0.0131775968014,117.069308171,-143.904421051,-13.1775968014,42.0461281316,42.0461281316,17.7084032208
5,0,240,positive,0.117010366433,-0.144006511137,-0.0130271543413,117.010366433,-144.006511137,-13.0271543413,42.1640116089,42.1640116089,17.858845681
5,1,240,positive,0.117069308171,-0.143904421051,-0.0131775968014,117.069308171,-143.904421051,-13.1775968014,42.0461281316,42.0461281316,17.7084032208
6,0,240,positive,0.116641149964,-0.14464601282,-0.0121636716768,116.641149964,-144.64601282,-12.1636716768,42.9024445474,42.9024445474,18.7223283455
